Scheme Name,Ministries/Departments,Description & Benefits,Tags
Interest Help Scheme For Graduate Doctor-Lawyer-Technical Graduate,Gujarat,"The ""Interest Help Scheme for Graduate Doctor-Lawyer-Technical Graduate"" aims to provide financial assistance in the form of interest subsidy on loans to the non-reserved category professionals in Gujarat.","Education, Loan, Subsidy"
Interest Subvention against long terms loan to the Co-operative sugar societies (Normal Area) (Tribal Area),Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide interest subvention on long-term loans taken by sugar cooperative societies for payment of sugarcane arrears for the year 2018-19.","Agriculture, Farmer, Interest Subvention, Sugar Co-operatives, Terms Loan"
Wire Fencing Around the Farm for Crop Protection,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to protect farmers' crops from damage caused by wild and stray animals by providing financial assistance for wire fencing around farms.","Agriculture, Crop Protection, Farmer, Farmers Group, Wire Fencing"
Kanyadaan Scheme (CBOCWWB),Chandigarh,"Under this scheme, financial assistance will be granted to the workers who are registered under the CBOCWWB on the eve of the marriage of his/her daughter and self-marriage of female registered workers.","Construction Worker, Daughter, Financial Assistance, Labour, Marriage"
Motorized Tricycle Yojana,Rajasthan,"Under this scheme, motorized tricycles are provided to specially-abled individuals with 50% or more locomotor disability to support self-employment and pursuing higher education from Senior Higher Secondary onwards.","Locomotor Disability, Motorized Tricycle, Persons With Disabilities, PwD, Self-employment"
Financial Assistance to Newlyweds under Kanyadan Yojana (Vijabhaj),Maharashtra,"""Financial Assistance to Newlyweds under Kanyadan Yojana (Vijabhaj)"" was launched by the Dept of Social Justice & Special Assistance, Govt of Maharashtra. The scheme aims to reduce the economic, social, and educational backwardness of Scheduled Castes, Freed Castes, Nomadic Tribes, etc.","Backward Class, Bride, Groom, Marriage, Nomadic Tribe"
Investment Promotion Scheme (IPS) For Handicraft Artisans: Assistance For Capital Investment For The Handloom And Handicrafts Artisans Of The U.T. Requiring Financial Assistance For Purchase Of Machinery Or Raw Materials,Dadra & Nagar Haveli and Daman & Diu,"This is a sub-scheme under the “Investment Promotion Scheme (IPS)”, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, that aims to provide financial assistance for purchase of machinery or raw materials for development of their business.","Capital Investment, Entrepreneurship, Handicraft Artisans, Handloom, Incentives, IPS, MSMEs, Purchase Of Machinery, Reimbursement, Subsidy"
Investment Promotion Scheme (IPS) for MSME Sector: Assistance For Capital Investment In Solar Power Generation,Dadra & Nagar Haveli and Daman & Diu,"“Assistance For Capital Investment In Solar Power Generation” under the “Investment Promotion Scheme (IPS)” for MSME sector, by the Dept. of Industries, DNH & DD, aims to encourage MSMEs to use Solar Power through providing Capital subsidy for setting up of Solar Power Plant for generation of power.","Capital Investment, Entrepreneurship, Incentives, MSMEs, Reimbursement, Solar Power Generation, Subsidy"
Investment Promotion Scheme (IPS) for MSME Sector: Assistance To Small And Medium Enterprises (SME) For Raising Of Capital Through SME Exchange,Dadra & Nagar Haveli and Daman & Diu,"“Assistance SME For Raising Of Capital Through SME Exchange” under the “Investment Promotion Scheme (IPS)” for MSME sector, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, aims to provide One-time assistance of expenditure incurred on raising of fund through SME Exchange.","Capital Support, Entrepreneurship, Incentives, Investment, MSMEs, Reimbursement, SME, Subsidy"
Investment Promotion Scheme (IPS) for MSME Sector: Assistance of Interest Subsidy,Dadra & Nagar Haveli and Daman & Diu,"“Assistance of Interest Subsidy” under the “Investment Promotion Scheme (IPS)” for MSME sector, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, aims to provide Interest Subsidy on the term loan on equipment/machinery etc and furniture’s / fixtures (except land and building).","Entrepreneurship, Incentives, Interest Subsidy, Investment, IPS, MSMEs, Reimbursement, Subsidy"
Investment Promotion Scheme (IPS) for MSME Sector: Assistance For Participation In Industrial Exhibitions Abroad,Dadra & Nagar Haveli and Daman & Diu,"“Assistance For Participation In Industrial Exhibitions Abroad” under the “Investment Promotion Scheme (IPS)” for MSME sector, by the Dept. of Industries, DNH & DD, aims to promote the Products and Services of the territory abroad and their businesses to expand  the customer base all over the world.","Entrepreneurship, Exhibitions, Incentives, MSMEs, Reimbursement, Subsidy"
Investment Promotion Scheme (IPS) for Thrust Sectors: Scheme For Food Processing Industries,Dadra & Nagar Haveli and Daman & Diu,"“Scheme For Food Processing Industries'' under the “Investment Promotion Scheme (IPS)” for Thrust Sectors, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, aims to provide Interest Subsidy to the Establishment /Expansion of Food processing industries.","Entrepreneurship, Food Processing Industries, Incentives, IPS, Reimbursement, Subsidy, Thrust Sectors"
Investment Promotion Scheme (IPS) for Textile Sector: Assistance Of Interest Subsidy For Textile Sector,Dadra & Nagar Haveli and Daman & Diu,"“Assistance Of Interest Subsidy For Textile Sector” under the “Investment Promotion Scheme (IPS)” for Textile Sector, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, aims to provide credit linked interest subsidy for Textile and Technical Textile sector.","Entrepreneurship, Incentives, Interest Subsidy, IPS, Reimbursement, Textile Sector"
Investment Promotion Scheme (IPS): Environment Protection Infrastructure Subsidy,Dadra & Nagar Haveli and Daman & Diu,"“Environment Protection Infrastructure Subsidy'' under the “Investment Promotion Scheme (IPS)”, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, aims to promote Installation of Environment Protection Infrastructure for a cleaner environment.","Entrepreneurship, Environment, Incentives, Infrastructure, IPS, MSMEs, Reimbursement, Subsidy"
"National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjanon Ke Sashaktikaran Men Karyrat Sarveshrestha Sansthan (Private Organization, NGO)",Ministry Of Social Justice and Empowerment,"The ""Divangjano ke Shashaktikaran Mein Karyrat Sarveshrestha Sansthan"" award is given by DoEPwD to an organization working for the empowerment of Persons with Disabilities for a minimum period of 10 years after registration under Society Act/ Trust Act / Section 8 of Companies Act 2013.","Award, Citizen Empowerment, Institution, NGO, Person With Disability, Private Organization"
Ex-gratia for Death for the Construction Workers,Dadra & Nagar Haveli and Daman & Diu,"The ""Ex-gratia for Death for the Construction Workers'' by the BOCW Welfare Board, Labour Department,  U.T. Administration of DNH & DD, is a welfare scheme that provides financial assistance for death to the nominees/ dependents of a deceased registered member.","Building Worker, Construction Worker, Death Assistance, Dependents, Ex-gratia, Labour, Nominees"
Retirement Relief in Quitting Service for the Construction Workers,Dadra & Nagar Haveli and Daman & Diu,"The ""Retirement Relief in Quitting Service for the Construction Workers'' by the BOCW Welfare Board, Labour Department,  U.T. Administration of DNH & DD, is a welfare scheme that provides a certain amount to the eligible registered worker on quitting service after attaining age of 60 years.","Building Worker, Construction Worker, Labour, Retirement"
Bus Passes for the Construction Workers,Dadra & Nagar Haveli and Daman & Diu,"The ""Bus Passes for the Construction Workers'' by the BOCW Welfare Board, Labour Department,  U.T. Administration of DNH & DD, is a welfare scheme that provides 50% reimbursement of the travelling cost of registered construction workers who travel by bus from various villages in search of work.","Building Worker, Bus Pass, Construction Worker, Labour"
Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently Abled Person,Tamil Nadu,"The Government of Tamil Nadu introduced ""Assistance for Delivery/Miscarriage of Pregnancy/Termination of Pregnancy to Female Differently Abled Person.","Delivery, Differently Abled Person, Female, Miscarriage, Pregnancy"
Economic Help To Tribal Girls For Higher Education (College Level),Rajasthan,Rajasthan Government started a scholarship for tribal girls higher education (College Level) In the year 1994-95.,"Educational Grant, Financial Assistance, Higher Education, Student"
Chief Minister Ladli Behna Yojana,Madhya Pradesh,"In 2023, Madhya Pradesh State Government started ""Chief Minister Ladli Behna Yojana"" for women empowerment","Empowerment, Financial Assistance, Social Welfare"
Widow B.Ed Scheme-Rajasthan,Rajasthan,"In 2015-16, Rajasthan State started the ""Widow B.Ed Scheme"" for Widow/abandoned women.","Abandoned Women, Empowerment, Higher Education, Student"
Kanya Sumangala Yojana,Uttar Pradesh,"Various schemes are run by the government for the purpose of providing social security to women, Kanya Sumangala Yojana is one such scheme.","Child Empowerment, Education, Financial Assistance, Girl Welfare"
